|     |   Total_cache_access |   Cache_reads |   Cache_writes |   Total_cache_miss |   Read_misses |   Write_misses |   Total_miss_rate |   Read_miss_rate |   Write_miss_rate |   Lines_evicted |   Leakage_cost (mW) |   Write_cost (nJ) |   Read_cost (nJ) |   Cache_size (Kib) |   Block_size (bytes) |   Assoc |   Cycle_time (ns) |
|  74 |               163404 |        131004 |          32400 |                 48 |            48 |              0 |          0.000294 |         0.000294 |          0        |               0 |            2.51444  |        0.00363697 |       0.00409584 |                 32 |                   32 |       8 |         0.198345  |
|  78 |               163404 |        131004 |          32400 |                 48 |            48 |              0 |          0.000294 |         0.000294 |          0        |               0 |            2.92891  |        0.00408633 |       0.00482775 |                 32 |                   32 |      16 |         0.198345  |
|  35 |               163404 |        131004 |          32400 |                 48 |            48 |              0 |          0.000294 |         0.000294 |          0        |               0 |            4.73661  |        0.00328028 |       0.00458242 |                 64 |                   32 |       1 |         0.198345  |
|  73 |               163404 |        131004 |          32400 |                 48 |            48 |              0 |          0.000294 |         0.000294 |          0        |               0 |            4.74038  |        0.0036229  |       0.0046554  |                 64 |                   32 |       2 |         0.198345  |
|  98 |               163404 |        131004 |          32400 |                 48 |            48 |              0 |          0.000294 |         0.000294 |          0        |               0 |            4.77257  |        0.00432381 |       0.00477836 |                 64 |                   32 |       4 |         0.198345  |
|  25 |               163404 |        131004 |          32400 |                 48 |            48 |              0 |          0.000294 |         0.000294 |          0        |               0 |            4.88189  |        0.00563712 |       0.00497919 |                 64 |                   32 |       8 |         0.198345  |
| 125 |               163404 |        131004 |          32400 |                 48 |            48 |              0 |          0.000294 |         0.000294 |          0        |               0 |            5.30272  |        0.00606952 |       0.00566048 |                 64 |                   32 |      16 |         0.198345  |
|  84 |               163404 |        131004 |          32400 |                 96 |            96 |              0 |          0.000588 |         0.000588 |          0        |               0 |            0.659658 |        0.00157105 |       0.0016993  |                  8 |                   16 |       1 |         0.122769  |
| 135 |               163404 |        131004 |          32400 |                 96 |            96 |              0 |          0.000588 |         0.000588 |          0        |               0 |            0.667987 |        0.00161649 |       0.00177993 |                  8 |                   16 |       2 |         0.122769  |
|  64 |               163404 |        131004 |          32400 |                 96 |            96 |              0 |          0.000588 |         0.000588 |          0        |               0 |            0.694171 |        0.00200804 |       0.00191667 |                  8 |                   16 |       4 |         0.122769  |
|   2 |               163404 |        131004 |          32400 |                 96 |            96 |              0 |          0.000588 |         0.000588 |          0        |               0 |            0.802464 |        0.00222154 |       0.00227444 |                  8 |                   16 |       8 |         0.122769  |
|  49 |               163404 |        131004 |          32400 |                 96 |            96 |              0 |          0.000588 |         0.000588 |          0        |               0 |            1.22682  |        0.00202986 |       0.00319949 |                 16 |                   16 |       1 |         0.198345  |
|   5 |               163404 |        131004 |          32400 |                 96 |            96 |              0 |          0.000588 |         0.000588 |          0        |               0 |            1.23454  |        0.00243002 |       0.00330138 |                 16 |                   16 |       2 |         0.198345  |
| 109 |               163404 |        131004 |          32400 |                 96 |            96 |              0 |          0.000588 |         0.000588 |          0        |               0 |            1.26273  |        0.00311473 |       0.00340763 |                 16 |                   16 |       4 |         0.198345  |
|  53 |               163404 |        131004 |          32400 |                 96 |            96 |              0 |          0.000588 |         0.000588 |          0        |               0 |            1.37407  |        0.00330541 |       0.00373859 |                 16 |                   16 |       8 |         0.198345  |
| 116 |               163404 |        131004 |          32400 |                 96 |            96 |              0 |          0.000588 |         0.000588 |          0        |               0 |            1.78649  |        0.00376725 |       0.00448155 |                 16 |                   16 |      16 |         0.198345  |
|  65 |               163404 |        131004 |          32400 |                 96 |            96 |              0 |          0.000588 |         0.000588 |          0        |               0 |            2.45374  |        0.00248905 |       0.00379122 |                 32 |                   16 |       1 |         0.198345  |
|  26 |               163404 |        131004 |          32400 |                 96 |            96 |              0 |          0.000588 |         0.000588 |          0        |               0 |            2.46376  |        0.00287299 |       0.00389048 |                 32 |                   16 |       2 |         0.198345  |
| 144 |               163404 |        131004 |          32400 |                 96 |            96 |              0 |          0.000588 |         0.000588 |          0        |               0 |            2.49489  |        0.00360027 |       0.00402962 |                 32 |                   16 |       4 |         0.198345  |
|  50 |               163404 |        131004 |          32400 |                 96 |            96 |              0 |          0.000588 |         0.000588 |          0        |               0 |            2.6002   |        0.00495914 |       0.00424585 |                 32 |                   16 |       8 |         0.198345  |
|  82 |               163404 |        131004 |          32400 |                 96 |            96 |              0 |          0.000588 |         0.000588 |          0        |               0 |            3.01316  |        0.00541993 |       0.00495952 |                 32 |                   16 |      16 |         0.198345  |
