|     |   Total_cache_access |   Cache_reads |   Cache_writes |   Total_cache_miss |   Read_misses |   Write_misses |   Total_miss_rate |   Read_miss_rate |   Write_miss_rate |   Lines_evicted |   Leakage_cost (mW) |   Write_cost (nJ) |   Read_cost (nJ) |   Cache_size (Kib) |   Block_size (bytes) |   Assoc |   Cycle_time (ns) |
|  75 |               682572 |        544188 |         138384 |               1536 |          1536 |              0 |          0.00225  |         0.00225  |          0        |               0 |            5.75898  |        0.00576808 |       0.00799524 |                 64 |                    4 |       2 |         0.245104  |
|  33 |               682572 |        544188 |         138384 |               1536 |          1536 |              0 |          0.00225  |         0.00225  |          0        |               0 |            5.82777  |        0.008386   |       0.00819574 |                 64 |                    4 |       4 |         0.245104  |
| 122 |               682572 |        544188 |         138384 |               1536 |          1536 |              0 |          0.00225  |         0.00225  |          0        |               0 |            5.96519  |        0.0137332  |       0.00853059 |                 64 |                    4 |       8 |         0.245104  |
| 120 |               682572 |        544188 |         138384 |               1536 |          1536 |              0 |          0.00225  |         0.00225  |          0        |               0 |            6.40878  |        0.0245732  |       0.00905969 |                 64 |                    4 |      16 |         0.245104  |
| 133 |               682572 |        544188 |         138384 |               3072 |          3072 |              0 |          0.004501 |         0.004501 |          0        |               0 |            3.48444  |        0.00379567 |       0.00718274 |                 32 |                    2 |       1 |         0.245104  |
|  32 |               682572 |        544188 |         138384 |               3072 |          3072 |              0 |          0.004501 |         0.004501 |          0        |               0 |            3.53008  |        0.00514523 |       0.00735603 |                 32 |                    2 |       2 |         0.245104  |
|  52 |               682572 |        544188 |         138384 |               3072 |          3072 |              0 |          0.004501 |         0.004501 |          0        |               0 |            3.59175  |        0.00782808 |       0.00756009 |                 32 |                    2 |       4 |         0.245104  |
| 157 |               682572 |        544188 |         138384 |               3072 |          3072 |              0 |          0.004501 |         0.004501 |          0        |               0 |            3.73597  |        0.013392   |       0.00792936 |                 32 |                    2 |       8 |         0.245104  |
| 114 |               682572 |        544188 |         138384 |               3072 |          3072 |              0 |          0.004501 |         0.004501 |          0        |               0 |            4.16775  |        0.0244507  |       0.00847036 |                 32 |                    2 |      16 |         0.245104  |
|  11 |               682572 |        544188 |         138384 |               3072 |          3072 |              0 |          0.004501 |         0.004501 |          0        |               0 |            6.76967  |        0.00449887 |       0.00818244 |                 64 |                    2 |       1 |         0.245104  |
| 148 |               682572 |        544188 |         138384 |               3072 |          3072 |              0 |          0.004501 |         0.004501 |          0        |               0 |            6.84903  |        0.00518068 |       0.00834443 |                 64 |                    2 |       2 |         0.245104  |
|  68 |               682572 |        544188 |         138384 |               3072 |          3072 |              0 |          0.004501 |         0.004501 |          0        |               0 |            6.97991  |        0.006545   |       0.00856401 |                 64 |                    2 |       4 |         0.245104  |
|  20 |               682572 |        544188 |         138384 |               3072 |          3072 |              0 |          0.004501 |         0.004501 |          0        |               0 |            7.27237  |        0.00934465 |       0.00896182 |                 64 |                    2 |       8 |         0.245104  |
| 130 |               682572 |        544188 |         138384 |               3072 |          3072 |              0 |          0.004501 |         0.004501 |          0        |               0 |            8.17846  |        0.015117   |       0.00974061 |                 64 |                    2 |      16 |         0.245104  |
|  49 |               682572 |        544188 |         138384 |               3868 |          2550 |           1318 |          0.005667 |         0.003736 |          0.001931 |            1247 |            1.22682  |        0.00202986 |       0.00319949 |                 16 |                   16 |       1 |         0.198345  |
|   5 |               682572 |        544188 |         138384 |               3868 |          2550 |           1318 |          0.005667 |         0.003736 |          0.001931 |            1247 |            1.23454  |        0.00243002 |       0.00330138 |                 16 |                   16 |       2 |         0.198345  |
|  16 |               682572 |        544188 |         138384 |               4308 |          2756 |           1552 |          0.006311 |         0.004038 |          0.002274 |            1517 |            1.18924  |        0.00185347 |       0.00311707 |                 16 |                   32 |       1 |         0.198345  |
| 152 |               682572 |        544188 |         138384 |               4308 |          2756 |           1552 |          0.006311 |         0.004038 |          0.002274 |            1517 |            1.19804  |        0.00236843 |       0.00317827 |                 16 |                   32 |       2 |         0.198345  |
| 109 |               682572 |        544188 |         138384 |               4657 |          3061 |           1596 |          0.006823 |         0.004485 |          0.002338 |            1589 |            1.26273  |        0.00311473 |       0.00340763 |                 16 |                   16 |       4 |         0.198345  |
|  93 |               682572 |        544188 |         138384 |               5340 |          3626 |           1714 |          0.007823 |         0.005312 |          0.002511 |            1571 |            1.31626  |        0.00210244 |       0.00340221 |                 16 |                    8 |       1 |         0.198345  |
|  47 |               682572 |        544188 |         138384 |               5340 |          3626 |           1714 |          0.007823 |         0.005312 |          0.002511 |            1571 |            1.3267   |        0.0025005  |       0.00350961 |                 16 |                    8 |       2 |         0.198345  |
|  86 |               682572 |        544188 |         138384 |               5399 |          3597 |           1802 |          0.00791  |         0.00527  |          0.00264  |            1787 |            1.35825  |        0.00325521 |       0.00365937 |                 16 |                    8 |       4 |         0.198345  |
|  62 |               682572 |        544188 |         138384 |               5689 |          3795 |           1894 |          0.008335 |         0.00556  |          0.002775 |            1894 |            1.46184  |        0.00466054 |       0.00389189 |                 16 |                    8 |       8 |         0.198345  |
|  53 |               682572 |        544188 |         138384 |               5881 |          3971 |           1910 |          0.008616 |         0.005818 |          0.002798 |            1910 |            1.37407  |        0.00330541 |       0.00373859 |                 16 |                   16 |       8 |         0.198345  |
| 160 |               682572 |        544188 |         138384 |               6144 |          6144 |              0 |          0.009001 |         0.009001 |          0        |               0 |            4.56467  |        0.0038094  |       0.00752775 |                 32 |                    1 |       1 |         0.245104  |
|  51 |               682572 |        544188 |         138384 |               6144 |          6144 |              0 |          0.009001 |         0.009001 |          0        |               0 |            4.64533  |        0.0045357  |       0.00770596 |                 32 |                    1 |       2 |         0.245104  |
| 155 |               682572 |        544188 |         138384 |               6144 |          6144 |              0 |          0.009001 |         0.009001 |          0        |               0 |            4.77844  |        0.00594723 |       0.00794497 |                 32 |                    1 |       4 |         0.245104  |
| 151 |               682572 |        544188 |         138384 |               6144 |          6144 |              0 |          0.009001 |         0.009001 |          0        |               0 |            5.07105  |        0.00883756 |       0.00836035 |                 32 |                    1 |       8 |         0.245104  |
|  18 |               682572 |        544188 |         138384 |               6144 |          6144 |              0 |          0.009001 |         0.009001 |          0        |               0 |            5.97894  |        0.0147911  |       0.00917526 |                 32 |                    1 |      16 |         0.245104  |
| 128 |               682572 |        544188 |         138384 |               6144 |          6144 |              0 |          0.009001 |         0.009001 |          0        |               0 |            8.98103  |        0.00578455 |       0.011562   |                 64 |                    1 |       1 |         0.345502  |
