|     |   Total_cache_access |   Cache_reads |   Cache_writes |   Total_cache_miss |   Read_misses |   Write_misses |   Total_miss_rate |   Read_miss_rate |   Write_miss_rate |   Lines_evicted |   Leakage_cost (mW) |   Write_cost (nJ) |   Read_cost (nJ) |   Cache_size (Kib) |   Block_size (bytes) |   Assoc |   Cycle_time (ns) |
| 115 |                37452 |         30396 |           7056 |                192 |           192 |              0 |          0.005127 |         0.005127 |                 0 |               0 |            0.514499 |        0.00186409 |       0.00140742 |                  4 |                    2 |       2 |         0.0990866 |
| 100 |                37452 |         30396 |           7056 |                192 |           192 |              0 |          0.005127 |         0.005127 |                 0 |               0 |            0.549938 |        0.00267546 |       0.00157006 |                  4 |                    2 |       4 |         0.0990866 |
|  46 |                37452 |         30396 |           7056 |                192 |           192 |              0 |          0.005127 |         0.005127 |                 0 |               0 |            0.642542 |        0.00409547 |       0.00204545 |                  4 |                    2 |       8 |         0.100959  |
|   3 |                37452 |         30396 |           7056 |                192 |           192 |              0 |          0.005127 |         0.005127 |                 0 |               0 |            0.954792 |        0.00198789 |       0.00225767 |                  8 |                    2 |       1 |         0.122769  |
|  28 |                37452 |         30396 |           7056 |                192 |           192 |              0 |          0.005127 |         0.005127 |                 0 |               0 |            0.970644 |        0.00271798 |       0.00236143 |                  8 |                    2 |       2 |         0.122769  |
| 141 |                37452 |         30396 |           7056 |                192 |           192 |              0 |          0.005127 |         0.005127 |                 0 |               0 |            1.00778  |        0.00417798 |       0.00252372 |                  8 |                    2 |       4 |         0.122769  |
| 105 |                37452 |         30396 |           7056 |                192 |           192 |              0 |          0.005127 |         0.005127 |                 0 |               0 |            1.04103  |        0.00485389 |       0.00323442 |                  4 |                    2 |      16 |         0.16565   |
|  45 |                37452 |         30396 |           7056 |                192 |           192 |              0 |          0.005127 |         0.005127 |                 0 |               0 |            1.12015  |        0.00708093 |       0.00277163 |                  8 |                    2 |       8 |         0.122769  |
|  15 |                37452 |         30396 |           7056 |                192 |           192 |              0 |          0.005127 |         0.005127 |                 0 |               0 |            1.4922   |        0.00776485 |       0.00399881 |                  8 |                    2 |      16 |         0.176461  |
| 103 |                37452 |         30396 |           7056 |                192 |           192 |              0 |          0.005127 |         0.005127 |                 0 |               0 |            1.77752  |        0.00253911 |       0.00427708 |                 16 |                    2 |       1 |         0.198345  |
|  85 |                37452 |         30396 |           7056 |                192 |           192 |              0 |          0.005127 |         0.005127 |                 0 |               0 |            1.8679   |        0.00345909 |       0.00399613 |                 16 |                    2 |       2 |         0.169342  |
|  10 |                37452 |         30396 |           7056 |                192 |           192 |              0 |          0.005127 |         0.005127 |                 0 |               0 |            1.9191   |        0.00490065 |       0.00418344 |                 16 |                    2 |       4 |         0.169342  |
|  48 |                37452 |         30396 |           7056 |                192 |           192 |              0 |          0.005127 |         0.005127 |                 0 |               0 |            2.04033  |        0.00783483 |       0.0045222  |                 16 |                    2 |       8 |         0.169342  |
|  30 |                37452 |         30396 |           7056 |                192 |           192 |              0 |          0.005127 |         0.005127 |                 0 |               0 |            2.39283  |        0.0134158  |       0.00545765 |                 16 |                    2 |      16 |         0.198345  |
| 133 |                37452 |         30396 |           7056 |                192 |           192 |              0 |          0.005127 |         0.005127 |                 0 |               0 |            3.48444  |        0.00379567 |       0.00718274 |                 32 |                    2 |       1 |         0.245104  |
|  32 |                37452 |         30396 |           7056 |                192 |           192 |              0 |          0.005127 |         0.005127 |                 0 |               0 |            3.53008  |        0.00514523 |       0.00735603 |                 32 |                    2 |       2 |         0.245104  |
