|     |   Total_cache_access |   Cache_reads |   Cache_writes |   Total_cache_miss |   Read_misses |   Write_misses |   Total_miss_rate |   Read_miss_rate |   Write_miss_rate |   Lines_evicted |   Leakage_cost (mW) |   Write_cost (nJ) |   Read_cost (nJ) |   Cache_size (Kib) |   Block_size (bytes) |   Assoc |   Cycle_time (ns) |
|  11 |               280576 |        264192 |          16384 |               2048 |           241 |           1807 |          0.007299 |         0.000859 |          0.00644  |               0 |            6.76967  |        0.00449887 |       0.00818244 |                 64 |                    2 |       1 |         0.245104  |
| 148 |               280576 |        264192 |          16384 |               2048 |           241 |           1807 |          0.007299 |         0.000859 |          0.00644  |               0 |            6.84903  |        0.00518068 |       0.00834443 |                 64 |                    2 |       2 |         0.245104  |
|  68 |               280576 |        264192 |          16384 |               2048 |           241 |           1807 |          0.007299 |         0.000859 |          0.00644  |               0 |            6.97991  |        0.006545   |       0.00856401 |                 64 |                    2 |       4 |         0.245104  |
|  20 |               280576 |        264192 |          16384 |               2048 |           241 |           1807 |          0.007299 |         0.000859 |          0.00644  |               0 |            7.27237  |        0.00934465 |       0.00896182 |                 64 |                    2 |       8 |         0.245104  |
| 130 |               280576 |        264192 |          16384 |               2048 |           241 |           1807 |          0.007299 |         0.000859 |          0.00644  |               0 |            8.17846  |        0.015117   |       0.00974061 |                 64 |                    2 |      16 |         0.245104  |
|  23 |               280576 |        264192 |          16384 |               4096 |           497 |           3599 |          0.014599 |         0.001771 |          0.012827 |               0 |            2.46357  |        0.00340769 |       0.0049053  |                 16 |                    1 |       1 |         0.171295  |
|  95 |               280576 |        264192 |          16384 |               4096 |           497 |           3599 |          0.014599 |         0.001771 |          0.012827 |               0 |            2.50304  |        0.00477012 |       0.00505492 |                 16 |                    1 |       2 |         0.172889  |
|  37 |               280576 |        264192 |          16384 |               4096 |           497 |           3599 |          0.014599 |         0.001771 |          0.012827 |               0 |            2.57398  |        0.00755529 |       0.0052752  |                 16 |                    1 |       4 |         0.174921  |
| 126 |               280576 |        264192 |          16384 |               4096 |           497 |           3599 |          0.014599 |         0.001771 |          0.012827 |               0 |            2.71099  |        0.0132262  |       0.00564034 |                 16 |                    1 |       8 |         0.176579  |
| 117 |               280576 |        264192 |          16384 |               4096 |           497 |           3599 |          0.014599 |         0.001771 |          0.012827 |               0 |            3.08319  |        0.0244783  |       0.00660876 |                 16 |                    1 |      16 |         0.198345  |
| 160 |               280576 |        264192 |          16384 |               4096 |           497 |           3599 |          0.014599 |         0.001771 |          0.012827 |               0 |            4.56467  |        0.0038094  |       0.00752775 |                 32 |                    1 |       1 |         0.245104  |
|  51 |               280576 |        264192 |          16384 |               4096 |           497 |           3599 |          0.014599 |         0.001771 |          0.012827 |               0 |            4.64533  |        0.0045357  |       0.00770596 |                 32 |                    1 |       2 |         0.245104  |
| 155 |               280576 |        264192 |          16384 |               4096 |           497 |           3599 |          0.014599 |         0.001771 |          0.012827 |               0 |            4.77844  |        0.00594723 |       0.00794497 |                 32 |                    1 |       4 |         0.245104  |
| 151 |               280576 |        264192 |          16384 |               4096 |           497 |           3599 |          0.014599 |         0.001771 |          0.012827 |               0 |            5.07105  |        0.00883756 |       0.00836035 |                 32 |                    1 |       8 |         0.245104  |
|  18 |               280576 |        264192 |          16384 |               4096 |           497 |           3599 |          0.014599 |         0.001771 |          0.012827 |               0 |            5.97894  |        0.0147911  |       0.00917526 |                 32 |                    1 |      16 |         0.245104  |
| 128 |               280576 |        264192 |          16384 |               4096 |           497 |           3599 |          0.014599 |         0.001771 |          0.012827 |               0 |            8.98103  |        0.00578455 |       0.011562   |                 64 |                    1 |       1 |         0.345502  |
| 108 |               280576 |        264192 |          16384 |               4096 |           497 |           3599 |          0.014599 |         0.001771 |          0.012827 |               0 |            9.44024  |        0.00663396 |       0.00808471 |                 64 |                    1 |       2 |         0.269384  |
| 107 |               280576 |        264192 |          16384 |               4096 |           497 |           3599 |          0.014599 |         0.001771 |          0.012827 |               0 |            9.70512  |        0.00801381 |       0.00832202 |                 64 |                    1 |       4 |         0.269384  |
| 102 |               280576 |        264192 |          16384 |               4096 |           497 |           3599 |          0.014599 |         0.001771 |          0.012827 |               0 |           10.2857   |        0.0108169  |       0.00876832 |                 64 |                    1 |       8 |         0.269384  |
| 137 |               280576 |        264192 |          16384 |               4096 |           497 |           3599 |          0.014599 |         0.001771 |          0.012827 |               0 |           12.2651   |        0.0265777  |       0.00922345 |                 64 |                    1 |      16 |         0.267742  |
|   7 |               280576 |        264192 |          16384 |               4873 |          1344 |           3529 |          0.017368 |         0.00479  |          0.012578 |            3514 |            0.628916 |        0.00131142 |       0.00165027 |                  8 |                  128 |       2 |         0.122769  |
|  69 |               280576 |        264192 |          16384 |               7442 |          1360 |           6082 |          0.026524 |         0.004847 |          0.021677 |            6051 |            0.635244 |        0.00140033 |       0.00165757 |                  8 |                   64 |       2 |         0.122769  |
|   8 |               280576 |        264192 |          16384 |               8452 |           816 |           7636 |          0.030124 |         0.002908 |          0.027215 |            7605 |            0.628186 |        0.00130576 |       0.00163184 |                  8 |                   64 |       1 |         0.122769  |
| 119 |               280576 |        264192 |          16384 |               8956 |           129 |           8827 |          0.03192  |         0.00046  |          0.03146  |            8620 |            1.22632  |        0.00351819 |       0.00355795 |                  8 |                    8 |      16 |         0.176461  |
|  61 |               280576 |        264192 |          16384 |               9212 |           189 |           9023 |          0.032832 |         0.000674 |          0.032159 |            8624 |            1.315    |        0.00492597 |       0.00369713 |                  8 |                    4 |      16 |         0.176461  |
|   2 |               280576 |        264192 |          16384 |               9336 |           116 |           9220 |          0.033274 |         0.000413 |          0.032861 |            9109 |            0.802464 |        0.00222154 |       0.00227444 |                  8 |                   16 |       8 |         0.122769  |
|  90 |               280576 |        264192 |          16384 |               9464 |           149 |           9315 |          0.033731 |         0.000531 |          0.0332   |            9108 |            0.847937 |        0.00291219 |       0.00234191 |                  8 |                    8 |       8 |         0.122769  |
|  81 |               280576 |        264192 |          16384 |               9720 |           221 |           9499 |          0.034643 |         0.000788 |          0.033855 |            9100 |            0.938728 |        0.00431678 |       0.00250016 |                  8 |                    4 |       8 |         0.122769  |
|  15 |               280576 |        264192 |          16384 |               9724 |           338 |           9386 |          0.034657 |         0.001205 |          0.033453 |            8603 |            1.4922   |        0.00776485 |       0.00399881 |                  8 |                    2 |      16 |         0.176461  |
|  45 |               280576 |        264192 |          16384 |              10232 |           402 |           9830 |          0.036468 |         0.001433 |          0.035035 |            9047 |            1.12015  |        0.00708093 |       0.00277163 |                  8 |                    2 |       8 |         0.122769  |
| 145 |               280576 |        264192 |          16384 |              10748 |           650 |          10098 |          0.038307 |         0.002317 |          0.03599  |            8547 |            1.84644  |        0.0133976  |       0.00455713 |                  8 |                    1 |      16 |         0.176461  |
|  91 |               280576 |        264192 |          16384 |              11256 |           778 |          10478 |          0.040117 |         0.002773 |          0.037345 |            8927 |            1.46188  |        0.00737074 |       0.00357227 |                  8 |                    1 |       8 |         0.132039  |
|  64 |               280576 |        264192 |          16384 |              11440 |          1244 |          10196 |          0.040773 |         0.004434 |          0.03634  |           10085 |            0.694171 |        0.00200804 |       0.00191667 |                  8 |                   16 |       4 |         0.122769  |
| 143 |               280576 |        264192 |          16384 |              11440 |          1149 |          10291 |          0.040773 |         0.004095 |          0.036678 |           10084 |            0.734511 |        0.00270373 |       0.00200403 |                  8 |                    8 |       4 |         0.122769  |
|  80 |               280576 |        264192 |          16384 |              11568 |          1528 |          10040 |          0.041229 |         0.005446 |          0.035784 |            9977 |            0.673926 |        0.00167185 |       0.00188464 |                  8 |                   32 |       4 |         0.122769  |
| 112 |               280576 |        264192 |          16384 |              11632 |          1181 |          10451 |          0.041458 |         0.004209 |          0.037248 |           10052 |            0.832396 |        0.00284811 |       0.00226215 |                  8 |                    4 |       4 |         0.122769  |
| 141 |               280576 |        264192 |          16384 |              12120 |          1402 |          10718 |          0.043197 |         0.004997 |          0.0382   |            9935 |            1.00778  |        0.00417798 |       0.00252372 |                  8 |                    2 |       4 |         0.122769  |
