|     |   Total_cache_access |   Cache_reads |   Cache_writes |   Total_cache_miss |   Read_misses |   Write_misses |   Total_miss_rate |   Read_miss_rate |   Write_miss_rate |   Lines_evicted |   Leakage_cost (mW) |   Write_cost (nJ) |   Read_cost (nJ) |   Cache_size (Kib) |   Block_size (bytes) |   Assoc |   Cycle_time (ns) |
| 143 |               167827 |        167827 |              0 |                681 |           681 |              0 |          0.004058 |         0.004058 |                 0 |               0 |            0.734511 |        0.00270373 |       0.00200403 |                  8 |                    8 |       4 |         0.122769  |
|  19 |               167827 |        167827 |              0 |                800 |           800 |              0 |          0.004767 |         0.004767 |                 0 |               0 |            1.47955  |        0.00240605 |       0.00364399 |                 16 |                    4 |       1 |         0.198345  |
|  57 |               167827 |        167827 |              0 |                800 |           800 |              0 |          0.004767 |         0.004767 |                 0 |               0 |            1.49402  |        0.00312971 |       0.00375799 |                 16 |                    4 |       2 |         0.198345  |
|  79 |               167827 |        167827 |              0 |                800 |           800 |              0 |          0.004767 |         0.004767 |                 0 |               0 |            1.5296   |        0.0045521  |       0.00391435 |                 16 |                    4 |       4 |         0.198345  |
|   4 |               167827 |        167827 |              0 |                800 |           800 |              0 |          0.004767 |         0.004767 |                 0 |               0 |            1.63722  |        0.00732578 |       0.00415346 |                 16 |                    4 |       8 |         0.198345  |
| 153 |               167827 |        167827 |              0 |                800 |           800 |              0 |          0.004767 |         0.004767 |                 0 |               0 |            2.04647  |        0.00791499 |       0.00491252 |                 16 |                    4 |      16 |         0.198345  |
|  34 |               167827 |        167827 |              0 |                800 |           800 |              0 |          0.004767 |         0.004767 |                 0 |               0 |            2.90125  |        0.00291407 |       0.00463935 |                 32 |                    4 |       1 |         0.198345  |
| 127 |               167827 |        167827 |              0 |                800 |           800 |              0 |          0.004767 |         0.004767 |                 0 |               0 |            2.91074  |        0.00386718 |       0.00632362 |                 32 |                    4 |       2 |         0.245104  |
| 113 |               167827 |        167827 |              0 |                800 |           800 |              0 |          0.004767 |         0.004767 |                 0 |               0 |            2.9566   |        0.00525587 |       0.0065013  |                 32 |                    4 |       4 |         0.245104  |
|  44 |               167827 |        167827 |              0 |                800 |           800 |              0 |          0.004767 |         0.004767 |                 0 |               0 |            3.08108  |        0.00813257 |       0.0068376  |                 32 |                    4 |       8 |         0.245104  |
| 110 |               167827 |        167827 |              0 |                800 |           800 |              0 |          0.004767 |         0.004767 |                 0 |               0 |            3.49709  |        0.0137179  |       0.00735222 |                 32 |                    4 |      16 |         0.245104  |
|  21 |               167827 |        167827 |              0 |                800 |           800 |              0 |          0.004767 |         0.004767 |                 0 |               0 |            5.72314  |        0.00448792 |       0.00785333 |                 64 |                    4 |       1 |         0.245104  |
|  75 |               167827 |        167827 |              0 |                800 |           800 |              0 |          0.004767 |         0.004767 |                 0 |               0 |            5.75898  |        0.00576808 |       0.00799524 |                 64 |                    4 |       2 |         0.245104  |
|  33 |               167827 |        167827 |              0 |                800 |           800 |              0 |          0.004767 |         0.004767 |                 0 |               0 |            5.82777  |        0.008386   |       0.00819574 |                 64 |                    4 |       4 |         0.245104  |
| 122 |               167827 |        167827 |              0 |                800 |           800 |              0 |          0.004767 |         0.004767 |                 0 |               0 |            5.96519  |        0.0137332  |       0.00853059 |                 64 |                    4 |       8 |         0.245104  |
| 120 |               167827 |        167827 |              0 |                800 |           800 |              0 |          0.004767 |         0.004767 |                 0 |               0 |            6.40878  |        0.0245732  |       0.00905969 |                 64 |                    4 |      16 |         0.245104  |
|  70 |               167827 |        167827 |              0 |                867 |           867 |              0 |          0.005166 |         0.005166 |                 0 |               0 |            0.359923 |        0.001187   |       0.0013248  |                  4 |                   32 |       4 |         0.100959  |
|  29 |               167827 |        167827 |              0 |                871 |           871 |              0 |          0.00519  |         0.00519  |                 0 |               0 |            0.35748  |        0.00113625 |       0.00125344 |                  4 |                    8 |       1 |         0.100959  |
|  77 |               167827 |        167827 |              0 |                874 |           874 |              0 |          0.005208 |         0.005208 |                 0 |               0 |            0.371394 |        0.00136658 |       0.00134117 |                  4 |                   16 |       4 |         0.100959  |
|  40 |               167827 |        167827 |              0 |                885 |           885 |              0 |          0.005273 |         0.005273 |                 0 |               0 |            0.334786 |        0.00112729 |       0.00123385 |                  4 |                   32 |       2 |         0.100959  |
| 162 |               167827 |        167827 |              0 |                919 |           919 |              0 |          0.005476 |         0.005476 |                 0 |               0 |            0.345793 |        0.00129862 |       0.00124939 |                  4 |                   16 |       2 |         0.100959  |
|  96 |               167827 |        167827 |              0 |                971 |           971 |              0 |          0.005786 |         0.005786 |                 0 |               0 |            0.787472 |        0.00167604 |       0.00200929 |                  8 |                    4 |       1 |         0.122769  |
| 142 |               167827 |        167827 |              0 |                997 |           997 |              0 |          0.005941 |         0.005941 |                 0 |               0 |            0.799291 |        0.00207228 |       0.00210646 |                  8 |                    4 |       2 |         0.122769  |
| 138 |               167827 |        167827 |              0 |               1083 |          1083 |              0 |          0.006453 |         0.006453 |                 0 |               0 |            0.503263 |        0.00195078 |       0.00181478 |                  4 |                    8 |       8 |         0.100959  |
|  61 |               167827 |        167827 |              0 |               1146 |          1146 |              0 |          0.006828 |         0.006828 |                 0 |               0 |            1.315    |        0.00492597 |       0.00369713 |                  8 |                    4 |      16 |         0.176461  |
| 112 |               167827 |        167827 |              0 |               1160 |          1160 |              0 |          0.006912 |         0.006912 |                 0 |               0 |            0.832396 |        0.00284811 |       0.00226215 |                  8 |                    4 |       4 |         0.122769  |
|  81 |               167827 |        167827 |              0 |               1172 |          1172 |              0 |          0.006983 |         0.006983 |                 0 |               0 |            0.938728 |        0.00431678 |       0.00250016 |                  8 |                    4 |       8 |         0.122769  |
|  87 |               167827 |        167827 |              0 |               1200 |          1200 |              0 |          0.00715  |         0.00715  |                 0 |               0 |            0.405981 |        0.00180993 |       0.00115368 |                  4 |                    8 |       4 |         0.0990866 |
|  22 |               167827 |        167827 |              0 |               1232 |          1232 |              0 |          0.007341 |         0.007341 |                 0 |               0 |            0.379481 |        0.00172488 |       0.00105965 |                  4 |                    8 |       2 |         0.0990866 |
| 118 |               167827 |        167827 |              0 |               1509 |          1509 |              0 |          0.008991 |         0.008991 |                 0 |               0 |            0.396899 |        0.00132088 |       0.00133915 |                  4 |                    4 |       1 |         0.100959  |
| 103 |               167827 |        167827 |              0 |               1600 |          1600 |              0 |          0.009534 |         0.009534 |                 0 |               0 |            1.77752  |        0.00253911 |       0.00427708 |                 16 |                    2 |       1 |         0.198345  |
|  85 |               167827 |        167827 |              0 |               1600 |          1600 |              0 |          0.009534 |         0.009534 |                 0 |               0 |            1.8679   |        0.00345909 |       0.00399613 |                 16 |                    2 |       2 |         0.169342  |
|  10 |               167827 |        167827 |              0 |               1600 |          1600 |              0 |          0.009534 |         0.009534 |                 0 |               0 |            1.9191   |        0.00490065 |       0.00418344 |                 16 |                    2 |       4 |         0.169342  |
|  48 |               167827 |        167827 |              0 |               1600 |          1600 |              0 |          0.009534 |         0.009534 |                 0 |               0 |            2.04033  |        0.00783483 |       0.0045222  |                 16 |                    2 |       8 |         0.169342  |
|  30 |               167827 |        167827 |              0 |               1600 |          1600 |              0 |          0.009534 |         0.009534 |                 0 |               0 |            2.39283  |        0.0134158  |       0.00545765 |                 16 |                    2 |      16 |         0.198345  |
| 133 |               167827 |        167827 |              0 |               1600 |          1600 |              0 |          0.009534 |         0.009534 |                 0 |               0 |            3.48444  |        0.00379567 |       0.00718274 |                 32 |                    2 |       1 |         0.245104  |
|  32 |               167827 |        167827 |              0 |               1600 |          1600 |              0 |          0.009534 |         0.009534 |                 0 |               0 |            3.53008  |        0.00514523 |       0.00735603 |                 32 |                    2 |       2 |         0.245104  |
|  52 |               167827 |        167827 |              0 |               1600 |          1600 |              0 |          0.009534 |         0.009534 |                 0 |               0 |            3.59175  |        0.00782808 |       0.00756009 |                 32 |                    2 |       4 |         0.245104  |
| 157 |               167827 |        167827 |              0 |               1600 |          1600 |              0 |          0.009534 |         0.009534 |                 0 |               0 |            3.73597  |        0.013392   |       0.00792936 |                 32 |                    2 |       8 |         0.245104  |
| 114 |               167827 |        167827 |              0 |               1600 |          1600 |              0 |          0.009534 |         0.009534 |                 0 |               0 |            4.16775  |        0.0244507  |       0.00847036 |                 32 |                    2 |      16 |         0.245104  |
|  11 |               167827 |        167827 |              0 |               1600 |          1600 |              0 |          0.009534 |         0.009534 |                 0 |               0 |            6.76967  |        0.00449887 |       0.00818244 |                 64 |                    2 |       1 |         0.245104  |
| 148 |               167827 |        167827 |              0 |               1600 |          1600 |              0 |          0.009534 |         0.009534 |                 0 |               0 |            6.84903  |        0.00518068 |       0.00834443 |                 64 |                    2 |       2 |         0.245104  |
|  68 |               167827 |        167827 |              0 |               1600 |          1600 |              0 |          0.009534 |         0.009534 |                 0 |               0 |            6.97991  |        0.006545   |       0.00856401 |                 64 |                    2 |       4 |         0.245104  |
|  20 |               167827 |        167827 |              0 |               1600 |          1600 |              0 |          0.009534 |         0.009534 |                 0 |               0 |            7.27237  |        0.00934465 |       0.00896182 |                 64 |                    2 |       8 |         0.245104  |
| 130 |               167827 |        167827 |              0 |               1600 |          1600 |              0 |          0.009534 |         0.009534 |                 0 |               0 |            8.17846  |        0.015117   |       0.00974061 |                 64 |                    2 |      16 |         0.245104  |
|  58 |               167827 |        167827 |              0 |               1714 |          1714 |              0 |          0.010213 |         0.010213 |                 0 |               0 |            0.94989  |        0.00340489 |       0.00309112 |                  4 |                    4 |      16 |         0.16565   |
|   3 |               167827 |        167827 |              0 |               1879 |          1879 |              0 |          0.011196 |         0.011196 |                 0 |               0 |            0.954792 |        0.00198789 |       0.00225767 |                  8 |                    2 |       1 |         0.122769  |
|  43 |               167827 |        167827 |              0 |               1906 |          1906 |              0 |          0.011357 |         0.011357 |                 0 |               0 |            0.54974  |        0.0026579  |       0.0018839  |                  4 |                    4 |       8 |         0.100959  |
|  28 |               167827 |        167827 |              0 |               1927 |          1927 |              0 |          0.011482 |         0.011482 |                 0 |               0 |            0.970644 |        0.00271798 |       0.00236143 |                  8 |                    2 |       2 |         0.122769  |
|  99 |               167827 |        167827 |              0 |               2000 |          2000 |              0 |          0.011917 |         0.011917 |                 0 |               0 |            0.417805 |        0.00178965 |       0.00118842 |                  4 |                    4 |       2 |         0.0990866 |
|  54 |               167827 |        167827 |              0 |               2020 |          2020 |              0 |          0.012036 |         0.012036 |                 0 |               0 |            0.447412 |        0.00250817 |       0.00129832 |                  4 |                    4 |       4 |         0.0990866 |
| 141 |               167827 |        167827 |              0 |               2196 |          2196 |              0 |          0.013085 |         0.013085 |                 0 |               0 |            1.00778  |        0.00417798 |       0.00252372 |                  8 |                    2 |       4 |         0.122769  |
